Time,Axis,Raw_Value,Scaled_8bit,Event
1757029280.648155,Left_X,0.000000,127,
1757029280.648155,Left_Y,0.000000,127,
1757029280.648155,Right_X,0.000000,127,
1757029280.648155,Right_Y,0.000000,127,
1757029280.6982589,Left_X,0.011749,128,
1757029280.6982589,Left_Y,-0.035309,122,
1757029280.6982589,Right_X,-0.003937,126,
1757029280.6982589,Right_Y,0.027435,130,
1757029280.748366,Left_X,0.011749,128,
1757029280.748366,Left_Y,-0.035309,122,
1757029280.748366,Right_X,-0.003937,126,
1757029280.748366,Right_Y,0.027435,130,
1757029280.7985437,Left_X,0.011749,128,
1757029280.7985437,Left_Y,-0.035309,122,
1757029280.7985437,Right_X,-0.003937,126,
1757029280.7985437,Right_Y,0.027435,130,
1757029280.8487086,Left_X,0.011749,128,
1757029280.8487086,Left_Y,-0.035309,122,
1757029280.8487086,Right_X,-0.003937,126,
1757029280.8487086,Right_Y,0.027435,130,
1757029280.898825,Left_X,0.011749,128,
1757029280.898825,Left_Y,-0.035309,122,
1757029280.898825,Right_X,-0.003937,126,
1757029280.898825,Right_Y,0.027435,130,
1757029280.949137,Left_X,0.011749,128,
1757029280.949137,Left_Y,-0.035309,122,
1757029280.949137,Right_X,-0.003937,126,
1757029280.949137,Right_Y,0.027435,130,
1757029280.999331,Left_X,0.011749,128,
1757029280.999331,Left_Y,-0.035309,122,
1757029280.999331,Right_X,-0.003937,126,
1757029280.999331,Right_Y,0.027435,130,
1757029281.0499518,Left_X,0.011749,128,
1757029281.0499518,Left_Y,-0.035309,122,
1757029281.0499518,Right_X,-0.003937,126,
1757029281.0499518,Right_Y,0.027435,130,
1757029281.100558,Left_X,0.011749,128,
1757029281.100558,Left_Y,-0.035309,122,
1757029281.100558,Right_X,-0.003937,126,
1757029281.100558,Right_Y,0.027435,130,
1757029281.1511905,Left_X,0.011749,128,
1757029281.1511905,Left_Y,-0.035309,122,
1757029281.1511905,Right_X,-0.003937,126,
1757029281.1511905,Right_Y,0.027435,130,
1757029281.2018125,Left_X,0.011749,128,
1757029281.2018125,Left_Y,-0.035309,122,
1757029281.2018125,Right_X,-0.003937,126,
1757029281.2018125,Right_Y,0.027435,130,
1757029281.2524695,Left_X,0.011749,128,
1757029281.2524695,Left_Y,-0.035309,122,
1757029281.2524695,Right_X,-0.003937,126,
1757029281.2524695,Right_Y,0.027435,130,
1757029281.3031006,Left_X,0.011749,128,
1757029281.3031006,Left_Y,-0.035309,122,
1757029281.3031006,Right_X,-0.003937,126,
1757029281.3031006,Right_Y,0.027435,130,
1757029281.3537214,Left_X,0.011749,128,
1757029281.3537214,Left_Y,-0.035309,122,
1757029281.3537214,Right_X,-0.003937,126,
1757029281.3537214,Right_Y,0.027435,130,
1757029281.403873,Left_X,0.011749,128,
1757029281.403873,Left_Y,-0.035309,122,
1757029281.403873,Right_X,-0.003937,126,
1757029281.403873,Right_Y,0.027435,130,
1757029281.4544923,Left_X,0.011749,128,
1757029281.4544923,Left_Y,-0.035309,122,
1757029281.4544923,Right_X,-0.003937,126,
1757029281.4544923,Right_Y,0.027435,130,
1757029281.5046344,Left_X,0.011749,128,
1757029281.5046344,Left_Y,-0.035309,122,
1757029281.5046344,Right_X,-0.003937,126,
1757029281.5046344,Right_Y,0.027435,130,
1757029281.5551808,Left_X,0.011749,128,
1757029281.5551808,Left_Y,-0.035309,122,
1757029281.5551808,Right_X,-0.003937,126,
1757029281.5551808,Right_Y,0.027435,130,
1757029281.6057081,Left_X,0.011749,128,
1757029281.6057081,Left_Y,-0.035309,122,
1757029281.6057081,Right_X,-0.003937,126,
1757029281.6057081,Right_Y,0.027435,130,
1757029281.6562347,Left_X,0.011749,128,
1757029281.6562347,Left_Y,-0.035309,122,
1757029281.6562347,Right_X,-0.003937,126,
1757029281.6562347,Right_Y,0.027435,130,
1757029281.7067595,Left_X,0.937225,246,
1757029281.7067595,Left_Y,-0.686279,39,
1757029281.7067595,Right_X,-0.050995,120,
1757029281.7067595,Right_Y,0.027435,130,
1757029281.7580683,Left_X,0.733307,220,
1757029281.7580683,Left_Y,-0.913727,10,
1757029281.7580683,Right_X,-0.066681,118,
1757029281.7580683,Right_Y,0.027435,130,
1757029281.8085213,Left_X,0.325470,168,
1757029281.8085213,Left_Y,-1.000000,0,
1757029281.8085213,Right_X,-0.082367,116,
1757029281.8085213,Right_Y,0.027435,130,
1757029281.8599002,Left_X,0.066650,135,
1757029281.8599002,Left_Y,-1.000000,0,
1757029281.8599002,Right_X,-0.082367,116,
1757029281.8599002,Right_Y,0.027435,130,
1757029281.9099698,Left_X,-0.474518,66,
1757029281.9099698,Left_Y,-1.000000,0,
1757029281.9099698,Right_X,-0.074524,117,
1757029281.9099698,Right_Y,0.027435,130,
1757029281.9598145,Left_X,-0.937256,7,
1757029281.9598145,Left_Y,-0.537262,58,
1757029281.9598145,Right_X,-0.043152,121,
1757029281.9598145,Right_Y,0.027435,130,
1757029282.0104713,Left_X,-1.000000,0,
1757029282.0104713,Left_Y,0.035278,131,
1757029282.0104713,Right_X,0.003906,127,
1757029282.0104713,Right_Y,0.027435,130,
1757029282.0611227,Left_X,-0.882355,14,
1757029282.0611227,Left_Y,0.364685,173,
1757029282.0611227,Right_X,0.019592,129,
1757029282.0611227,Right_Y,0.027435,130,
1757029282.1117713,Left_X,-0.945099,6,
1757029282.1117713,Left_Y,0.662720,211,
1757029282.1117713,Right_X,0.050964,133,
1757029282.1117713,Right_Y,0.027435,130,
1757029282.1622453,Left_X,-0.725494,34,
1757029282.1622453,Left_Y,0.898010,241,
1757029282.1622453,Right_X,0.066650,135,
1757029282.1622453,Right_Y,0.027435,130,
1757029282.2128673,Left_X,-0.537262,58,
1757029282.2128673,Left_Y,0.999969,254,
1757029282.2128673,Right_X,0.074493,136,
1757029282.2128673,Right_Y,0.027435,130,
1757029282.2632625,Left_X,0.058807,134,
1757029282.2632625,Left_Y,0.999969,254,
1757029282.2632625,Right_X,0.082336,137,
1757029282.2632625,Right_Y,0.027435,130,
1757029282.3141937,Left_X,0.772522,225,
1757029282.3141937,Left_Y,0.835266,233,
1757029282.3141937,Right_X,0.058807,134,
1757029282.3141937,Right_Y,0.027435,130,
1757029282.365056,Left_X,0.999969,254,
1757029282.365056,Left_Y,0.348999,171,
1757029282.365056,Right_X,0.019592,129,
1757029282.365056,Right_Y,0.027435,130,
1757029282.4151351,Left_X,0.999969,254,
1757029282.4151351,Left_Y,0.090179,138,
1757029282.4151351,Right_X,0.003906,127,
1757029282.4151351,Right_Y,0.027435,130,
1757029282.4656556,Left_X,0.999969,254,
1757029282.4656556,Left_Y,-0.082367,116,
1757029282.4656556,Right_X,-0.003937,126,
1757029282.4656556,Right_Y,0.027435,130,
1757029282.5164218,Left_X,0.999969,254,
1757029282.5164218,Left_Y,-0.474518,66,
1757029282.5164218,Right_X,-0.035309,122,
1757029282.5164218,Right_Y,0.027435,130,
1757029282.5668416,Left_X,0.607819,204,
1757029282.5668416,Left_Y,-1.000000,0,
1757029282.5668416,Right_X,-0.074524,117,
1757029282.5668416,Right_Y,0.027435,130,
1757029282.6179914,Left_X,0.294098,164,
1757029282.6179914,Left_Y,-1.000000,0,
1757029282.6179914,Right_X,-0.082367,116,
1757029282.6179914,Right_Y,0.027435,130,
1757029282.668164,Left_X,-0.082367,116,
1757029282.668164,Left_Y,-1.000000,0,
1757029282.668164,Right_X,-0.082367,116,
1757029282.668164,Right_Y,0.027435,130,
1757029282.7184103,Left_X,-0.592163,51,
1757029282.7184103,Left_Y,-0.976471,2,
1757029282.7184103,Right_X,-0.019623,124,
1757029282.7184103,Right_Y,0.027435,130,
1757029282.768428,Left_X,-0.874512,15,
1757029282.768428,Left_Y,-0.662750,42,
1757029282.768428,Right_X,0.035278,131,
1757029282.768428,Right_Y,0.027435,130,
1757029282.8190856,Left_X,-1.000000,0,
1757029282.8190856,Left_Y,-0.349030,82,
1757029282.8190856,Right_X,0.270569,161,
1757029282.8190856,Right_Y,0.027435,130,
1757029282.8694835,Left_X,-0.819611,22,
1757029282.8694835,Left_Y,-0.019623,124,
1757029282.8694835,Right_X,0.850952,235,
1757029282.8694835,Right_Y,-0.035309,122,
1757029282.920343,Left_X,-0.905884,11,
1757029282.920343,Left_Y,0.129395,143,
1757029282.920343,Right_X,0.999969,254,
1757029282.920343,Right_Y,-0.043152,121,
1757029282.970828,Left_X,-0.035309,122,
1757029282.970828,Left_Y,-0.027466,123,
1757029282.970828,Right_X,0.999969,254,
1757029282.970828,Right_Y,0.207825,153,
1757029283.0212815,Left_X,-0.035309,122,
1757029283.0212815,Left_Y,-0.027466,123,
1757029283.0212815,Right_X,0.780365,226,
1757029283.0212815,Right_Y,0.756836,223,
1757029283.0713606,Left_X,-0.035309,122,
1757029283.0713606,Left_Y,-0.027466,123,
1757029283.0713606,Right_X,0.317627,167,
1757029283.0713606,Right_Y,0.999969,254,
1757029283.1222944,Left_X,-0.035309,122,
1757029283.1222944,Left_Y,-0.027466,123,
1757029283.1222944,Right_X,-0.301971,88,
1757029283.1222944,Right_Y,0.999969,254,
1757029283.172017,Left_X,-0.035309,122,
